timestamp,participantID,ID,expOrder,trialNumber,perimeter,surfaceArea,event,lv,lx,ly,lpv,lps,rv,rx,ry,rpv,rps
274.115,108,5,3,1,"{'TopLeft': 0.6464101615137755, 'TopRight': 0.6302499074759311, 'BottomLeft': 0.5600159273722156, 'BottomRight': 0.6625704155516198}","{'TopLeft': 0.01299038105676658, 'TopRight': 0.01234898099208873, 'BottomLeft': 0.010936601811691784, 'BottomRight': 0.013648019097765387}",startRecording,1,-0.1649879879421658,-0.3108299970626831,1,3.5949859619140625,1,-0.16119209925333658,-0.2623608112335205,1,3.42529296875
290.754,108,5,3,1,"{'TopLeft': 0.6464101615137755, 'TopRight': 0.6302499074759311, 'BottomLeft': 0.5600159273722156, 'BottomRight': 0.6625704155516198}","{'TopLeft': 0.01299038105676658, 'TopRight': 0.01234898099208873, 'BottomLeft': 0.010936601811691784, 'BottomRight': 0.013648019097765387}",startRecording,1,-0.15056525336371526,-0.46120113134384155,1,3.3212738037109375,1,-0.1918967564900716,-0.27268314361572266,1,3.4147186279296875
307.391,108,5,3,1,"{'TopLeft': 0.6464101615137755, 'TopRight': 0.6302499074759311, 'BottomLeft': 0.5600159273722156, 'BottomRight': 0.6625704155516198}","{'TopLeft': 0.01299038105676658, 'TopRight': 0.01234898099208873, 'BottomLeft': 0.010936601811691784, 'BottomRight': 0.013648019097765387}",startRecording,1,-0.2283543480767144,-0.3528667092323303,1,3.5482940673828125,1,-0.21106094784206814,-0.37516510486602783,1,3.2876739501953125
324.039,108,5,3,1,"{'TopLeft': 0.6464101615137755, 'TopRight': 0.6302499074759311, 'BottomLeft': 0.5600159273722156, 'BottomRight': 0.6625704155516198}","{'TopLeft': 0.01299038105676658, 'TopRight': 0.01234898099208873, 'BottomLeft': 0.010936601811691784, 'BottomRight': 0.013648019097765387}",startRecording,0,nan,nan,0,nan,1,-0.23183070288764104,-0.4194605350494385,1,3.1773529052734375
340.702,108,5,3,1,"{'TopLeft': 0.6464101615137755, 'TopRight': 0.6302499074759311, 'BottomLeft': 0.5600159273722156, 'BottomRight': 0.6625704155516198}","{'TopLeft': 0.01299038105676658, 'TopRight': 0.01234898099208873, 'BottomLeft': 0.010936601811691784, 'BottomRight': 0.013648019097765387}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
357.364,108,5,3,1,"{'TopLeft': 0.6464101615137755, 'TopRight': 0.6302499074759311, 'BottomLeft': 0.5600159273722156, 'BottomRight': 0.6625704155516198}","{'TopLeft': 0.01299038105676658, 'TopRight': 0.01234898099208873, 'BottomLeft': 0.010936601811691784, 'BottomRight': 0.013648019097765387}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
374.026,108,5,3,1,"{'TopLeft': 0.6464101615137755, 'TopRight': 0.6302499074759311, 'BottomLeft': 0.5600159273722156, 'BottomRight': 0.6625704155516198}","{'TopLeft': 0.01299038105676658, 'TopRight': 0.01234898099208873, 'BottomLeft': 0.010936601811691784, 'BottomRight': 0.013648019097765387}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
390.688,108,5,3,1,"{'TopLeft': 0.6464101615137755, 'TopRight': 0.6302499074759311, 'BottomLeft': 0.5600159273722156, 'BottomRight': 0.6625704155516198}","{'TopLeft': 0.01299038105676658, 'TopRight': 0.01234898099208873, 'BottomLeft': 0.010936601811691784, 'BottomRight': 0.013648019097765387}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
407.351,108,5,3,1,"{'TopLeft': 0.6464101615137755, 'TopRight': 0.6302499074759311, 'BottomLeft': 0.5600159273722156, 'BottomRight': 0.6625704155516198}","{'TopLeft': 0.01299038105676658, 'TopRight': 0.01234898099208873, 'BottomLeft': 0.010936601811691784, 'BottomRight': 0.013648019097765387}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
424.012,108,5,3,1,"{'TopLeft': 0.6464101615137755, 'TopRight': 0.6302499074759311, 'BottomLeft': 0.5600159273722156, 'BottomRight': 0.6625704155516198}","{'TopLeft': 0.01299038105676658, 'TopRight': 0.01234898099208873, 'BottomLeft': 0.010936601811691784, 'BottomRight': 0.013648019097765387}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
