timestamp,participantID,ID,expOrder,trialNumber,perimeter,surfaceArea,event,lv,lx,ly,lpv,lps,rv,rx,ry,rpv,rps
264.342,116,11,4,1,"{'TopLeft': 0.5239330101755614, 'TopRight': 0.4633392771923114, 'BottomLeft': 0.47519505574062554, 'BottomRight': 0.4873795443493595}","{'TopLeft': 0.018891240950839387, 'TopRight': 0.01414870547364006, 'BottomLeft': 0.015540063540414664, 'BottomRight': 0.01634720688012062}",startRecording,1,0.394693375,-0.025561213,1,3.651321411,1,0.448106872,-0.033732057,1,3.522033691
281.02,116,11,4,1,"{'TopLeft': 0.5239330101755614, 'TopRight': 0.4633392771923114, 'BottomLeft': 0.47519505574062554, 'BottomRight': 0.4873795443493595}","{'TopLeft': 0.018891240950839387, 'TopRight': 0.01414870547364006, 'BottomLeft': 0.015540063540414664, 'BottomRight': 0.01634720688012062}",startRecording,1,0.404574076,-0.028130233,1,3.615905762,1,0.447474056,-0.033052564,1,3.494186401
297.7,116,11,4,1,"{'TopLeft': 0.5239330101755614, 'TopRight': 0.4633392771923114, 'BottomLeft': 0.47519505574062554, 'BottomRight': 0.4873795443493595}","{'TopLeft': 0.018891240950839387, 'TopRight': 0.01414870547364006, 'BottomLeft': 0.015540063540414664, 'BottomRight': 0.01634720688012062}",startRecording,1,0.410374324,-0.036437988,1,3.578079224,1,0.45474116,-0.033073068,1,3.464141846
314.382,116,11,4,1,"{'TopLeft': 0.5239330101755614, 'TopRight': 0.4633392771923114, 'BottomLeft': 0.47519505574062554, 'BottomRight': 0.4873795443493595}","{'TopLeft': 0.018891240950839387, 'TopRight': 0.01414870547364006, 'BottomLeft': 0.015540063540414664, 'BottomRight': 0.01634720688012062}",startRecording,1,0.406777806,-0.035814106,1,3.551116943,1,0.452249103,-0.037679434,1,3.439025879
331.052,116,11,4,1,"{'TopLeft': 0.5239330101755614, 'TopRight': 0.4633392771923114, 'BottomLeft': 0.47519505574062554, 'BottomRight': 0.4873795443493595}","{'TopLeft': 0.018891240950839387, 'TopRight': 0.01414870547364006, 'BottomLeft': 0.015540063540414664, 'BottomRight': 0.01634720688012062}",startRecording,1,0.403881921,-0.03559804,1,3.520431519,1,0.452846633,-0.041100085,1,3.415649414
347.72,116,11,4,1,"{'TopLeft': 0.5239330101755614, 'TopRight': 0.4633392771923114, 'BottomLeft': 0.47519505574062554, 'BottomRight': 0.4873795443493595}","{'TopLeft': 0.018891240950839387, 'TopRight': 0.01414870547364006, 'BottomLeft': 0.015540063540414664, 'BottomRight': 0.01634720688012062}",startRecording,1,0.407490836,-0.031507015,1,3.494689941,1,0.454311583,-0.038966358,1,3.389190674
364.389,116,11,4,1,"{'TopLeft': 0.5239330101755614, 'TopRight': 0.4633392771923114, 'BottomLeft': 0.47519505574062554, 'BottomRight': 0.4873795443493595}","{'TopLeft': 0.018891240950839387, 'TopRight': 0.01414870547364006, 'BottomLeft': 0.015540063540414664, 'BottomRight': 0.01634720688012062}",startRecording,1,0.416721874,-0.033488631,1,3.469238281,1,0.449256049,-0.040559828,1,3.369827271
381.058,116,11,4,1,"{'TopLeft': 0.5239330101755614, 'TopRight': 0.4633392771923114, 'BottomLeft': 0.47519505574062554, 'BottomRight': 0.4873795443493595}","{'TopLeft': 0.018891240950839387, 'TopRight': 0.01414870547364006, 'BottomLeft': 0.015540063540414664, 'BottomRight': 0.01634720688012062}",startRecording,1,0.706688245,-0.004491746,1,3.487976074,1,0.795898226,0.002738565,1,3.411697388
397.727,116,11,4,1,"{'TopLeft': 0.5239330101755614, 'TopRight': 0.4633392771923114, 'BottomLeft': 0.47519505574062554, 'BottomRight': 0.4873795443493595}","{'TopLeft': 0.018891240950839387, 'TopRight': 0.01414870547364006, 'BottomLeft': 0.015540063540414664, 'BottomRight': 0.01634720688012062}",startRecording,1,1.045412487,0.042042196,1,3.453323364,1,1.137499491,0.051031321,1,3.316970825
414.396,116,11,4,1,"{'TopLeft': 0.5239330101755614, 'TopRight': 0.4633392771923114, 'BottomLeft': 0.47519505574062554, 'BottomRight': 0.4873795443493595}","{'TopLeft': 0.018891240950839387, 'TopRight': 0.01414870547364006, 'BottomLeft': 0.015540063540414664, 'BottomRight': 0.01634720688012062}",startRecording,1,1.413583544,0.091287613,1,3.465164185,1,1.577641169,0.110913873,1,3.401672363
