timestamp,ID,expOrder,trialNumber,event,lv,lx,ly,lpv,lps,rv,rx,ry,rpv,rps
-57.813,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
-41.146,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
-24.48,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
-7.813,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
8.839,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
25.485,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
42.128,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
58.787,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
75.449,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
92.111,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
108.773,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
125.435,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
142.097,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
158.76,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
175.421,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
192.093,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
208.777,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
225.461,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
242.139,17,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.14614952935112846,0.11189228296279907,1,4.290740966796875
258.804,17,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.16700638665093315,0.09744954109191895,1,4.361572265625
275.468,17,1,1,stimulusMovement,1,-0.11341275109185112,0.12383294105529785,1,3.99310302734375,0,nan,nan,0,nan
292.135,17,1,1,stimulusMovement,1,-0.10465123918321396,0.12435165047645569,1,4.033599853515625,0,nan,nan,0,nan
308.802,17,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.12227535247802734,0.10511171817779541,1,4.261138916015625
325.47,17,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.055248048570421,0.13614585995674133,1,4.14013671875
342.137,17,1,1,stimulusMovement,1,-0.28359222412109375,0.17316552996635437,1,3.87359619140625,0,nan,nan,0,nan
358.802,17,1,1,stimulusMovement,0,nan,nan,0,nan,1,-0.020959112379286025,0.18440312147140503,1,4.2478179931640625
375.468,17,1,1,stimulusMovement,1,-0.2802383634779188,0.11867517232894897,1,3.9944000244140625,0,nan,nan,0,nan
392.135,17,1,1,stimulusMovement,1,-0.271640141805013,0.17157062888145447,1,3.801605224609375,1,-0.03943093617757161,0.18512719869613647,1,4.1274566650390625
408.805,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
425.475,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
442.145,17,1,1,stimulusMovement,1,-0.28096914291381836,0.18324097990989685,1,3.7239990234375,1,-0.07675758997599283,0.20377346873283386,1,4.11480712890625
458.81,17,1,1,stimulusMovement,0,nan,nan,0,nan,1,-0.062278217739529074,0.1513473391532898,1,4.1125946044921875
475.476,17,1,1,stimulusMovement,1,-0.3019090758429633,0.17096877098083496,1,3.676513671875,0,nan,nan,0,nan
492.143,17,1,1,stimulusMovement,1,-0.264961666531033,0.06266260147094727,1,4.08203125,1,-0.06233904096815321,0.1969606578350067,1,4.0597991943359375
508.812,17,1,1,stimulusMovement,1,-0.2962506612141927,0.1752781867980957,1,3.7072906494140625,1,-0.0768034193250868,0.19146928191184998,1,4.0422821044921875
525.482,17,1,1,stimulusMovement,1,-0.3110622829861111,0.212496817111969,1,3.6890869140625,0,nan,nan,0,nan
542.15,17,1,1,stimulusMovement,0,nan,nan,0,nan,1,-0.09895812140570746,0.1802414357662201,1,4.132904052734375
558.816,17,1,1,stimulusMovement,1,-0.4086102379692925,0.24099385738372803,1,3.68212890625,0,nan,nan,0,nan
575.482,17,1,1,stimulusMovement,1,-0.4674913618299696,0.2523604929447174,1,3.8346099853515625,0,nan,nan,0,nan
592.149,17,1,1,stimulusMovement,1,-0.4679294957054986,0.3175465315580368,1,3.6677398681640625,1,-0.28113290998670787,0.3400391936302185,1,4.0465545654296875
608.817,17,1,1,stimulusMovement,1,-0.5033525890774196,0.35071271657943726,1,3.647003173828125,1,-0.28720569610595703,0.32445287704467773,1,4.11785888671875
625.485,17,1,1,stimulusMovement,1,-0.5047713385687934,0.3067261129617691,1,3.7170257568359375,1,-0.3167543411254883,0.3569785803556442,1,4.0126800537109375
642.153,17,1,1,stimulusMovement,1,-0.5229795244004991,0.3635253608226776,1,3.5371551513671875,1,-0.3002140257093641,0.3725455701351166,1,4.0104827880859375
658.819,17,1,1,stimulusMovement,1,-0.5615578757392036,0.38083118200302124,1,3.516937255859375,0,nan,nan,0,nan
675.485,17,1,1,stimulusMovement,1,-0.5602777004241943,0.3655662387609482,1,3.5946044921875,1,-0.3282063802083333,0.3360479176044464,1,4.0919342041015625
692.151,17,1,1,stimulusMovement,1,-0.5480135546790229,0.3472331464290619,1,3.6739349365234375,1,-0.3266872829861111,0.3660600930452347,1,3.9967803955078125
708.817,17,1,1,stimulusMovement,1,-0.5446332030826144,0.34511393308639526,1,3.607391357421875,1,-0.34508620368109805,0.37325558066368103,1,4.029327392578125
725.482,17,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
742.149,17,1,1,stimulusMovement,1,-0.5314717292785645,0.2980985939502716,1,3.881683349609375,1,-0.3778473536173502,0.39095649123191833,1,3.9827728271484375
758.814,17,1,1,stimulusMovement,0,nan,nan,0,nan,1,-0.37244266933865017,0.30841393768787384,1,4.1322174072265625
775.481,17,1,1,stimulusMovement,1,-0.6243198712666829,0.3916946351528168,1,3.5496368408203125,0,nan,nan,0,nan
792.148,17,1,1,stimulusMovement,1,-0.607254876030816,0.41904353350400925,1,3.4314422607421875,0,nan,nan,0,nan
808.815,17,1,1,stimulusMovement,1,-0.6303113566504585,0.4275403246283531,1,3.41717529296875,1,-0.4163454903496636,0.41938312351703644,1,3.9900054931640625
825.483,17,1,1,stimulusMovement,1,-0.6539685461256238,0.4241125136613846,1,3.4036102294921875,1,-0.43904908498128253,0.429890513420105,1,3.93402099609375
842.151,17,1,1,stimulusMovement,1,-0.6902665297190348,0.41724739223718643,1,3.512542724609375,1,-0.4436940617031521,0.41721154749393463,1,3.9544525146484375
858.817,17,1,1,stimulusMovement,1,-0.6918139722612169,0.4285345524549484,1,3.5201416015625,1,-0.4594681792789035,0.43588151782751083,1,3.946868896484375
875.483,17,1,1,stimulusMovement,0,nan,nan,0,nan,1,-0.4656520419650607,0.4550769329071045,1,3.916046142578125
892.15,17,1,1,stimulusMovement,0,nan,nan,0,nan,1,-0.4625610245598687,0.4470833130180836,1,3.9943695068359375
908.817,17,1,1,stimulusMovement,1,-0.7160094579060872,0.4843526352196932,1,3.4297332763671875,1,-0.48274514410230845,0.4631606377661228,1,3.938812255859375
925.484,17,1,1,stimulusMovement,1,-0.7258739074071248,0.4709382504224777,1,3.4116058349609375,0,nan,nan,0,nan
942.153,17,1,1,stimulusMovement,1,-0.7361449400583903,0.4984596809372306,1,3.381591796875,0,nan,nan,0,nan
958.82,17,1,1,stimulusMovement,1,-0.7854185236824883,0.5112072648480535,1,3.514801025390625,1,-0.5010132789611816,0.4672541618347168,1,3.969879150390625
975.488,17,1,1,stimulusMovement,1,-0.76445914639367,0.4893017616122961,1,3.4636688232421875,1,-0.512330691019694,0.48168380185961723,1,3.9504547119140625
992.156,17,1,1,stimulusMovement,1,-0.7617096371120876,0.490436390042305,1,3.4273681640625,1,-0.5101861159006754,0.48891531489789486,1,3.9620208740234375
1008.822,17,1,1,stimulusMovement,1,-0.8374469412697686,0.5576183162629604,1,3.4299163818359375,1,-0.5698769357469347,0.5062349336221814,1,4.0623931884765625
1025.488,17,1,1,stimulusMovement,1,-0.9307461910777621,0.5995179712772369,1,3.4279022216796875,1,-0.6795521577199299,0.5531739145517349,1,3.9519195556640625
1042.155,17,1,1,stimulusMovement,1,-0.9209441807534959,0.573299415409565,1,3.4921417236328125,1,-0.6760178407033284,0.5615848824381828,1,3.9474639892578125
1058.821,17,1,1,stimulusMovement,1,-0.9416271315680609,0.5832560956478119,1,3.4398345947265625,1,-0.6881115171644422,0.538328729569912,1,4.1326904296875
1075.488,17,1,1,stimulusMovement,1,-0.9197243319617376,0.5975252687931061,1,3.50750732421875,1,-0.6889342466990153,0.5693934261798859,1,3.9821624755859375
1092.154,17,1,1,stimulusMovement,1,-0.9134683691793017,0.5782964825630188,1,3.50872802734375,1,-0.6774020459916856,0.5718582645058632,1,3.99859619140625
1108.819,17,1,1,stimulusMovement,1,-0.8644876678784688,0.6361357867717743,1,3.297393798828125,1,-0.665740172068278,0.5735039114952087,1,3.9892578125
1125.483,17,1,1,stimulusMovement,1,-0.8855006355378362,0.5763071030378342,1,3.4987640380859375,1,-0.6562531259324815,0.5754910409450531,1,4.0380401611328125
1142.149,17,1,1,stimulusMovement,1,-0.9000436589121819,0.5822960957884789,1,3.464508056640625,1,-0.6489495171440972,0.5776715278625488,1,4.0421600341796875
1158.813,17,1,1,stimulusMovement,1,-0.8746598644389046,0.5703499764204025,1,3.5250701904296875,1,-0.5999432669745551,0.54817209020257,1,4.0532684326171875
1175.478,17,1,1,stimulusMovement,1,-0.8632524841361575,0.5603402405977249,1,3.5308685302734375,1,-0.6300327512953016,0.5651980862021446,1,4.0053863525390625
1192.144,17,1,1,stimulusMovement,1,-0.8729955835474862,0.57247693836689,1,3.5785980224609375,1,-0.6022931204901801,0.5687834024429321,1,4.018035888671875
1208.807,17,1,1,stimulusMovement,1,-0.8615959071450763,0.568316712975502,1,3.505157470703125,1,-0.6103393766615125,0.539845660328865,1,4.0711822509765625
1225.472,17,1,1,stimulusMovement,1,-0.885940501673354,0.5587296113371849,1,3.579833984375,1,-0.5962184800042046,0.5694400668144226,1,4.045074462890625
1242.137,17,1,1,stimulusMovement,1,-0.8817198036445512,0.5693132057785988,1,3.5688934326171875,1,-0.610975980758667,0.5730594545602798,1,4.0256195068359375
1258.801,17,1,1,stimulusMovement,1,-0.8338257471720377,0.5985660776495934,1,3.4409637451171875,1,-0.598432805803087,0.5331845842301846,1,4.1264801025390625
1275.466,17,1,1,stimulusMovement,1,-0.87943151841561,0.5783472210168839,1,3.530731201171875,1,-0.6154566340976291,0.5577162653207779,1,4.1045074462890625
1292.132,17,1,1,stimulusMovement,1,-0.8866151976916524,0.5601816922426224,1,3.5969390869140625,1,-0.6263656086391872,0.5591995976865292,1,3.996612548828125
1308.797,17,1,1,stimulusMovement,1,-0.8620071543587579,0.5650623738765717,1,3.531097412109375,1,-0.6224489212036133,0.5672843679785728,1,4.0555572509765625
1325.464,17,1,1,stimulusMovement,1,-0.8733202417691548,0.5649726092815399,1,3.6177215576171875,1,-0.6232155164082844,0.5581034868955612,1,4.0368804931640625
1342.131,17,1,1,stimulusMovement,1,-0.880183805194166,0.5682300254702568,1,3.6072540283203125,1,-0.6138841311136881,0.5739706009626389,1,4.0227813720703125
1358.796,17,1,1,stimulusMovement,1,-0.8720287051465776,0.5649825185537338,1,3.569091796875,1,-0.6033435132768419,0.543060589581728,1,4.0675201416015625
1375.463,17,1,1,stimulusMovement,1,-0.8664577702681223,0.5760327577590942,1,3.5500335693359375,1,-0.5573916965060763,0.5688136741518974,1,3.8870697021484375
1392.129,17,1,1,stimulusMovement,1,-0.852937466568417,0.5699178576469421,1,3.59405517578125,1,-0.6006496747334797,0.5301495902240276,1,4.172149658203125
1408.795,17,1,1,stimulusMovement,1,-0.8545553684234619,0.54439976811409,1,3.637237548828125,1,-0.6001326507992214,0.5291614644229412,1,4.196441650390625
1425.461,17,1,1,stimulusMovement,1,-0.8757748628656069,0.5441234074532986,1,3.7034759521484375,1,-0.6037650903065999,0.48860057909041643,1,4.311767578125
1442.128,17,1,1,stimulusMovement,1,-0.8675576481554242,0.5592671409249306,1,3.6676788330078125,1,-0.6140329043070475,0.5537222027778625,1,4.1477203369140625
1458.794,17,1,1,stimulusMovement,1,-0.8645161158508724,0.5440509021282196,1,3.6953125,1,-0.5865204334259033,0.5625309646129608,1,4.105133056640625
1475.46,17,1,1,stimulusMovement,1,-0.8619184295336405,0.545496977865696,1,3.7284088134765625,1,-0.6272988584306505,0.5670275017619133,1,4.126007080078125
1492.126,17,1,1,stimulusMovement,1,-0.8544411493672265,0.5584223978221416,1,3.734619140625,1,-0.6034844451480441,0.5203610993921757,1,4.28631591796875
1508.792,17,1,1,stimulusMovement,1,-0.839863101641337,0.5989086851477623,1,3.6354217529296875,1,-0.6108744409349229,0.5604316554963589,1,4.203643798828125
1525.458,17,1,1,stimulusMovement,1,-0.790196590953403,0.4899970181286335,1,3.9587249755859375,1,-0.5999560091230604,0.5452825017273426,1,4.2530670166015625
1542.125,17,1,1,stimulusMovement,1,-0.8522242042753431,0.5676187947392464,1,3.763824462890625,0,nan,nan,0,nan
1558.79,17,1,1,stimulusMovement,1,-0.8601819607946607,0.5664326995611191,1,3.762664794921875,1,-0.6185398631625705,0.5450013540685177,1,4.3048248291015625
1575.457,17,1,1,stimulusMovement,1,-0.8411703672673967,0.5784147679805756,1,3.7073516845703125,0,nan,nan,0,nan
1592.123,17,1,1,stimulusMovement,1,-0.8553113010194566,0.5761150121688843,1,3.826568603515625,1,-0.6115922662946912,0.5321602523326874,1,4.3356475830078125
1608.789,17,1,1,stimulusMovement,1,-0.8510671820905473,0.5151730757206678,1,3.958831787109375,1,-0.6055725945366753,0.5470170304179192,1,4.265350341796875
1625.455,17,1,1,stimulusMovement,1,-0.8769440493649906,0.5545092672109604,1,3.8895416259765625,1,-0.5718272527058919,0.5433338433504105,1,4.25439453125
1642.122,17,1,1,stimulusMovement,1,-0.8778373897075653,0.5444738790392876,1,3.8805694580078125,1,-0.6264179017808702,0.5484416410326958,1,4.3561859130859375
1658.787,17,1,1,stimulusMovement,1,-0.904114748040835,0.5391508266329765,1,3.9302520751953125,1,-0.6401185989379883,0.5222443137317896,1,4.3391571044921875
1675.454,17,1,1,stimulusMovement,1,-0.8675555189450581,0.5993513762950897,1,3.722991943359375,1,-0.6422772142622205,0.511232721619308,1,4.4406280517578125
1692.121,17,1,1,stimulusMovement,0,nan,nan,0,nan,1,-0.632439030541314,0.5127294603735209,1,4.427154541015625
1708.786,17,1,1,stimulusMovement,1,-0.8874514011873139,0.5509890913963318,1,3.8945159912109375,1,-0.6483017868465847,0.5401009544730186,1,4.3945770263671875
1725.453,17,1,1,stimulusMovement,1,-0.8942092363205221,0.5491245612502098,1,3.9299163818359375,1,-0.6264412138197156,0.5336616896092892,1,4.3640289306640625
1742.119,17,1,1,stimulusMovement,1,-0.8774369085828463,0.5693179741501808,1,3.8639068603515625,1,-0.6206886238521999,0.5051793344318867,1,4.427490234375
1758.785,17,1,1,stimulusMovement,1,-0.867668201526006,0.585623249411583,1,3.8219146728515625,1,-0.6199922031826443,0.5124090854078531,1,4.4493408203125
1775.451,17,1,1,stimulusMovement,1,-0.9079954259925418,0.5414589270949364,1,3.9523162841796875,1,-0.6330258581373426,0.47918183170259,1,4.5380706787109375
1792.118,17,1,1,stimulusMovement,1,-0.8920513267318407,0.5511587932705879,1,3.9049224853515625,1,-0.6498160362243652,0.5326575227081776,1,4.4002685546875
1808.783,17,1,1,stimulusMovement,1,-0.9157986011770036,0.5546050295233727,1,3.9223785400390625,1,-0.6346087455749512,0.5264554619789124,1,4.4080047607421875
1825.45,17,1,1,stimulusMovement,1,-0.8772568967607286,0.587335392832756,1,3.8513336181640625,1,-0.6383414798312717,0.5339955687522888,1,4.3626861572265625
1842.116,17,1,1,stimulusMovement,1,-0.9035345762968063,0.5610537081956863,1,3.9557037353515625,1,-0.637055582470364,0.5087759448215365,1,4.410003662109375
1858.782,17,1,1,stimulusMovement,0,nan,nan,0,nan,1,-0.6359762880537244,0.539671778678894,1,4.3768463134765625
1875.448,17,1,1,stimulusMovement,1,-0.8789545711543825,0.535437785089016,1,3.873016357421875,0,nan,nan,0,nan
1892.115,17,1,1,stimulusMovement,1,-0.8887846544384956,0.5417137034237385,1,3.8810577392578125,1,-0.6094164318508571,0.4922104300931096,1,4.3889923095703125
1908.78,17,1,1,stimulusMovement,1,-0.8921682495209905,0.5434762798249722,1,3.8637237548828125,1,-0.6341805987887912,0.4561338424682617,1,4.578094482421875
1925.447,17,1,1,stimulusMovement,1,-0.8843620618184407,0.5517415851354599,1,3.8684234619140625,1,-0.6357062127855089,0.5258118398487568,1,4.3495941162109375
1942.113,17,1,1,stimulusMovement,1,-0.8824188345008426,0.5537700392305851,1,3.8621978759765625,1,-0.6052660412258571,0.5016020331531763,1,4.39263916015625
1958.779,17,1,1,stimulusMovement,1,-0.8810843601822853,0.5463400706648827,1,3.8249053955078125,1,-0.6386157936520046,0.5341791287064552,1,4.350006103515625
1975.446,17,1,1,stimulusMovement,1,-0.8565601408481598,0.5464222766458988,1,3.7772064208984375,1,-0.6211927731831868,0.5511084869503975,1,4.305328369140625
1992.112,17,1,1,stimulusMovement,1,-0.8475293550226423,0.5000038491562009,1,3.9242401123046875,1,-0.6294859515296088,0.5396815724670887,1,4.32025146484375
2008.778,17,1,1,stimulusMovement,1,-0.8808763830198182,0.5245339833199978,1,3.826324462890625,1,-0.6223446793026394,0.47078192234039307,1,4.4861297607421875
2025.444,17,1,1,stimulusMovement,1,-0.8765470162034035,0.5650390535593033,1,3.77606201171875,1,-0.627316951751709,0.5373095721006393,1,4.307403564453125
2042.111,17,1,1,stimulusMovement,1,-0.8778303845061196,0.5398948602378368,1,3.8223876953125,1,-0.6223851044972737,0.5236746240407228,1,4.3444061279296875
2058.776,17,1,1,stimulusMovement,1,-0.8812677702969974,0.5441207997500896,1,3.8250732421875,1,-0.5892828305562336,0.4835164323449135,1,4.4549102783203125
