timestamp,participantID,ID,expOrder,trialNumber,perimeter,surfaceArea,event,lv,lx,ly,lpv,lps,rv,rx,ry,rpv,rps
276.427,111,8,2,1,"{'TopLeft': 0.5600159273722156, 'TopRight': 0.6464101615137755, 'BottomLeft': 0.7272114317029974, 'BottomRight': 0.6302499074759311}","{'TopLeft': 0.010936601811691784, 'TopRight': 0.01299038105676658, 'BottomLeft': 0.016440951024970202, 'BottomRight': 0.01234898099208873}",startRecording,1,0.13193384806315103,0.06673020124435425,1,3.641693115234375,1,0.0985425313313802,0.07681527733802795,1,3.57843017578125
293.082,111,8,2,1,"{'TopLeft': 0.5600159273722156, 'TopRight': 0.6464101615137755, 'BottomLeft': 0.7272114317029974, 'BottomRight': 0.6302499074759311}","{'TopLeft': 0.010936601811691784, 'TopRight': 0.01299038105676658, 'BottomLeft': 0.016440951024970202, 'BottomRight': 0.01234898099208873}",startRecording,1,0.12865553961859807,0.06680691242218018,1,3.62420654296875,1,0.10121599833170572,0.07526841759681702,1,3.5708770751953125
309.737,111,8,2,1,"{'TopLeft': 0.5600159273722156, 'TopRight': 0.6464101615137755, 'BottomLeft': 0.7272114317029974, 'BottomRight': 0.6302499074759311}","{'TopLeft': 0.010936601811691784, 'TopRight': 0.01299038105676658, 'BottomLeft': 0.016440951024970202, 'BottomRight': 0.01234898099208873}",startRecording,1,0.12819608052571613,0.08327335119247437,1,3.58917236328125,1,0.10634899139404297,0.08324199914932251,1,3.5457000732421875
326.396,111,8,2,1,"{'TopLeft': 0.5600159273722156, 'TopRight': 0.6464101615137755, 'BottomLeft': 0.7272114317029974, 'BottomRight': 0.6302499074759311}","{'TopLeft': 0.010936601811691784, 'TopRight': 0.01299038105676658, 'BottomLeft': 0.016440951024970202, 'BottomRight': 0.01234898099208873}",startRecording,1,0.11749998728434244,0.0991925299167633,1,3.6053924560546875,1,0.10936313205295138,0.08586791157722473,1,3.561737060546875
343.061,111,8,2,1,"{'TopLeft': 0.5600159273722156, 'TopRight': 0.6464101615137755, 'BottomLeft': 0.7272114317029974, 'BottomRight': 0.6302499074759311}","{'TopLeft': 0.010936601811691784, 'TopRight': 0.01299038105676658, 'BottomLeft': 0.016440951024970202, 'BottomRight': 0.01234898099208873}",startRecording,1,0.10935931735568576,0.023667216300964355,1,3.748382568359375,1,0.11526415083143446,0.14012640714645386,1,3.523406982421875
359.725,111,8,2,1,"{'TopLeft': 0.5600159273722156, 'TopRight': 0.6464101615137755, 'BottomLeft': 0.7272114317029974, 'BottomRight': 0.6302499074759311}","{'TopLeft': 0.010936601811691784, 'TopRight': 0.01299038105676658, 'BottomLeft': 0.016440951024970202, 'BottomRight': 0.01234898099208873}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
376.389,111,8,2,1,"{'TopLeft': 0.5600159273722156, 'TopRight': 0.6464101615137755, 'BottomLeft': 0.7272114317029974, 'BottomRight': 0.6302499074759311}","{'TopLeft': 0.010936601811691784, 'TopRight': 0.01299038105676658, 'BottomLeft': 0.016440951024970202, 'BottomRight': 0.01234898099208873}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
393.053,111,8,2,1,"{'TopLeft': 0.5600159273722156, 'TopRight': 0.6464101615137755, 'BottomLeft': 0.7272114317029974, 'BottomRight': 0.6302499074759311}","{'TopLeft': 0.010936601811691784, 'TopRight': 0.01299038105676658, 'BottomLeft': 0.016440951024970202, 'BottomRight': 0.01234898099208873}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
409.718,111,8,2,1,"{'TopLeft': 0.5600159273722156, 'TopRight': 0.6464101615137755, 'BottomLeft': 0.7272114317029974, 'BottomRight': 0.6302499074759311}","{'TopLeft': 0.010936601811691784, 'TopRight': 0.01299038105676658, 'BottomLeft': 0.016440951024970202, 'BottomRight': 0.01234898099208873}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
426.382,111,8,2,1,"{'TopLeft': 0.5600159273722156, 'TopRight': 0.6464101615137755, 'BottomLeft': 0.7272114317029974, 'BottomRight': 0.6302499074759311}","{'TopLeft': 0.010936601811691784, 'TopRight': 0.01299038105676658, 'BottomLeft': 0.016440951024970202, 'BottomRight': 0.01234898099208873}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
