timestamp,ID,expOrder,trialNumber,event,lv,lx,ly,lpv,lps,rv,rx,ry,rpv,rps
3.029,3,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.15179623497856987,0.16336259245872498,1,3.542694091796875
19.69,3,1,1,stimulusMovement,1,-0.21038712395562065,0.11766085028648376,1,3.6905975341796875,0,nan,nan,0,nan
36.35,3,1,1,stimulusMovement,1,-0.2167184617784288,0.09743720293045044,1,3.70330810546875,1,0.14141983456081814,0.13646355271339417,1,3.5719757080078125
53.012,3,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.1386760075887044,0.14058968424797058,1,3.6163330078125
69.678,3,1,1,stimulusMovement,1,-0.20618846681382919,0.10753500461578369,1,3.59765625,0,nan,nan,0,nan
86.343,3,1,1,stimulusMovement,1,-0.18269417021009657,0.11753332614898682,1,3.64453125,1,0.1702821519639757,0.1755485236644745,1,3.562744140625
103.008,3,1,1,stimulusMovement,1,-0.18538628684149847,0.11943823099136353,1,3.70068359375,0,nan,nan,0,nan
119.674,3,1,1,stimulusMovement,1,-0.17391819424099392,0.08195844292640686,1,3.726318359375,1,0.15556854671902126,0.16145354509353638,1,3.501129150390625
136.34,3,1,1,stimulusMovement,1,-0.18162155151367188,0.09956330060958862,1,3.780426025390625,1,0.1657597223917643,0.1705334484577179,1,3.5496673583984375
153.005,3,1,1,stimulusMovement,1,-0.20964532428317598,0.09024840593338013,1,3.7321624755859375,1,0.16412554846869573,0.18876630067825317,1,3.4893951416015625
169.671,3,1,1,stimulusMovement,1,-0.2124581866794162,0.1033892035484314,1,3.7233123779296875,1,0.12387699551052517,0.12223118543624878,1,3.458160400390625
186.336,3,1,1,stimulusMovement,1,-0.17915026346842447,0.08463019132614136,1,3.7169189453125,1,0.16554631127251518,0.13821536302566528,1,3.5684356689453125
203.005,3,1,1,stimulusMovement,1,-0.2015672789679633,0.07673987746238708,1,3.7394866943359375,0,nan,nan,0,nan
219.674,3,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
236.343,3,1,1,stimulusMovement,1,-0.1521578894721137,0.04962313175201416,1,3.988555908203125,0,nan,nan,0,nan
253.009,3,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.16609721713595918,0.134560227394104,1,3.591094970703125
269.675,3,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
286.346,3,1,1,stimulusMovement,1,-0.1915454864501953,0.10939580202102661,1,3.6941375732421875,0,nan,nan,0,nan
303.034,3,1,1,stimulusMovement,1,-0.1816506915622287,0.08222770690917969,1,3.923370361328125,1,0.14656776852077907,0.12533584237098694,1,3.5730133056640625
319.723,3,1,1,stimulusMovement,1,-0.19866180419921875,0.12289780378341675,1,3.6906890869140625,0,nan,nan,0,nan
336.409,3,1,1,stimulusMovement,1,-0.1978215111626519,0.09372881054878235,1,3.7266998291015625,1,0.15575260586208767,0.1303614377975464,1,3.544677734375
353.077,3,1,1,stimulusMovement,1,-0.2049555778503418,0.10392624139785767,1,3.6837158203125,0,nan,nan,0,nan
369.745,3,1,1,stimulusMovement,1,-0.2206520504421658,0.10037940740585327,1,3.7027587890625,1,0.12899494171142578,0.11746072769165039,1,3.5645904541015625
386.409,3,1,1,stimulusMovement,1,-0.2749137348598904,0.05672571063041687,1,3.7925567626953125,0,nan,nan,0,nan
403.064,3,1,1,stimulusMovement,1,-0.39312007692125106,-0.009335458278656006,1,3.7978363037109375,1,-0.03159258100721571,0.031279534101486206,1,3.6224517822265625
419.719,3,1,1,stimulusMovement,1,-0.32457855012681747,-0.014461815357208252,1,3.9447479248046875,0,nan,nan,0,nan
436.377,3,1,1,stimulusMovement,1,-0.3880155351426866,0.016101688146591187,1,3.78900146484375,1,-0.04626157548692491,0.029365837574005127,1,3.5497283935546875
453.044,3,1,1,stimulusMovement,1,-0.3770500289069281,-0.03225994110107422,1,3.912445068359375,0,nan,nan,0,nan
469.711,3,1,1,stimulusMovement,1,-0.38779650794135195,0.00025326013565063477,1,3.729888916015625,0,nan,nan,0,nan
486.376,3,1,1,stimulusMovement,1,-0.40632210837470156,-0.014914333820343018,1,3.8482208251953125,1,-0.06106503804524739,0.015069782733917236,1,3.667388916015625
503.032,3,1,1,stimulusMovement,1,-0.40416457917955184,-0.10949492454528809,1,4.088470458984375,0,nan,nan,0,nan
519.688,3,1,1,stimulusMovement,1,-0.4141191906399197,-0.06627058982849121,1,3.867095947265625,0,nan,nan,0,nan
536.347,3,1,1,stimulusMovement,1,-0.442846934000651,-0.08061814308166504,1,4.0188140869140625,1,-0.04486650890774197,0.00402909517288208,1,3.81842041015625
553.012,3,1,1,stimulusMovement,1,-0.4274522463480631,-0.05837815999984741,1,3.9835205078125,1,-0.07832230461968316,0.012306571006774902,1,3.760223388671875
569.678,3,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
586.343,3,1,1,stimulusMovement,1,-0.47701795895894367,-0.06511247158050537,1,4.0088348388671875,1,-0.10681830512152778,-0.0407181978225708,1,3.88232421875
