timestamp,ID,expOrder,trialNumber,event,lv,lx,ly,lpv,lps,rv,rx,ry,rpv,rps
10.692,15,1,1,stimulusMovement,1,-0.09525638156467013,0.05647590756416321,1,2.8939971923828125,1,0.06520313686794704,0.11516481637954712,1,2.8410491943359375
27.385,15,1,1,stimulusMovement,1,-0.10315042071872287,0.0530855655670166,1,2.904693603515625,1,0.06940799289279513,0.1266607642173767,1,2.8366241455078125
44.081,15,1,1,stimulusMovement,1,-0.10193114810519747,0.06044876575469971,1,2.8787994384765625,1,0.06911076439751519,0.12720680236816406,1,2.8125
60.757,15,1,1,stimulusMovement,1,-0.09669229719373915,0.06538096070289612,1,2.896331787109375,1,0.06511221991644965,0.11436396837234497,1,2.8347930908203125
77.43,15,1,1,stimulusMovement,1,-0.10115951961941189,0.06326299905776978,1,2.8771209716796875,1,0.063630739847819,0.1278783679008484,1,2.8341522216796875
94.102,15,1,1,stimulusMovement,1,-0.09532917870415582,0.0526200532913208,1,2.874420166015625,1,0.06781556871202257,0.1192467212677002,1,2.82470703125
110.774,15,1,1,stimulusMovement,1,-0.10185956954956055,0.0629422664642334,1,2.8532257080078125,1,0.0665660434299045,0.13028189539909363,1,2.82012939453125
127.447,15,1,1,stimulusMovement,1,-0.10362079408433701,0.06005889177322388,1,2.8598175048828125,1,0.06294854482014973,0.12289983034133911,1,2.824951171875
144.119,15,1,1,stimulusMovement,1,-0.09657589594523111,0.05806523561477661,1,2.8804779052734375,1,0.06889555189344618,0.1290273368358612,1,2.7994384765625
160.791,15,1,1,stimulusMovement,1,-0.09461545944213867,0.07261842489242554,1,2.8375701904296875,1,0.0655368169148763,0.12153786420822144,1,2.8049774169921875
177.464,15,1,1,stimulusMovement,1,-0.10452673170301649,0.06714147329330444,1,2.8480377197265625,1,0.06943300035264757,0.12151360511779785,1,2.8093719482421875
194.122,15,1,1,stimulusMovement,1,-0.1012266476949056,0.059815824031829834,1,2.8408355712890625,1,0.0687414805094401,0.12121796607971191,1,2.7873992919921875
210.772,15,1,1,stimulusMovement,1,-0.09676297505696614,0.05733707547187805,1,2.8299407958984375,1,0.06861559549967447,0.12525179982185364,1,2.759613037109375
227.421,15,1,1,stimulusMovement,1,-0.1021031273735894,0.06813222169876099,1,2.802886962890625,1,0.06374804178873697,0.11802434921264648,1,2.7626800537109375
244.084,15,1,1,stimulusMovement,1,-0.10176547368367513,0.06286501884460449,1,2.7917938232421875,1,0.07239913940429688,0.12877145409584045,1,2.765411376953125
