timestamp,participantID,ID,expOrder,trialNumber,perimeter,surfaceArea,event,lv,lx,ly,lpv,lps,rv,rx,ry,rpv,rps
276.163,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,0.26855267418755424,-0.13866710662841797,1,3.783447265625,1,0.2932889726426866,-0.16700291633605957,1,3.5453033447265625
292.857,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,0.26898108588324654,-0.141326904296875,1,3.783905029296875,1,0.29241328769259983,-0.16489863395690918,1,3.54058837890625
309.555,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,0.27091365390353733,-0.14094460010528564,1,3.7826995849609375,1,0.2914208306206597,-0.16800260543823242,1,3.5416412353515625
326.238,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,0.2707784440782335,-0.14060723781585693,1,3.7841033935546875,1,0.2915746900770399,-0.169114351272583,1,3.53790283203125
342.911,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,0.2717696295844184,-0.14054667949676514,1,3.78192138671875,1,0.29390631781684023,-0.16722595691680908,1,3.537261962890625
359.583,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,0.27273792690700954,-0.14406049251556396,1,3.7813720703125,1,0.29953893025716144,-0.1666344404220581,1,3.534881591796875
376.254,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,0.27465958065456814,-0.14569032192230225,1,3.783599853515625,1,0.29601266649034286,-0.16820871829986572,1,3.538330078125
392.927,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,0.27320077684190536,-0.14230942726135254,1,3.783355712890625,1,0.29690233866373694,-0.16949594020843506,1,3.5383453369140625
409.599,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,0.2741311391194661,-0.13398313522338867,1,3.785736083984375,1,0.2979628245035807,-0.16629064083099365,1,3.5366973876953125
426.27,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,0.16150241427951387,-0.1327936053276062,1,3.79071044921875,1,0.19556193881564668,-0.1559140682220459,1,3.5267181396484375
442.942,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,-0.01695018344455295,-0.11438214778900146,1,3.778472900390625,1,0.008562193976508247,-0.1382462978363037,1,3.5567169189453125
459.597,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,-0.20572853088378906,-0.0989532470703125,1,3.7816162109375,1,-0.17764886220296222,-0.12277227640151978,1,3.57000732421875
476.231,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,-0.35985231399536133,-0.0929335355758667,1,3.768310546875,1,-0.3331889576382107,-0.11160683631896973,1,3.57513427734375
492.862,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,-0.4565406905280219,-0.09650611877441406,1,3.764312744140625,1,-0.4305907355414496,-0.11321532726287842,1,3.5786590576171875
509.511,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,-0.4620934062533908,-0.08693432807922363,1,3.777557373046875,1,-0.4305769072638617,-0.11001789569854736,1,3.5848388671875
526.178,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,-0.45658432112799746,-0.09250307083129883,1,3.7633819580078125,1,-0.42780653635660804,-0.11233460903167725,1,3.5785369873046875
542.845,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,-0.4593336317274305,-0.08854538202285767,1,3.76708984375,1,-0.43247222900390625,-0.1143563985824585,1,3.5823822021484375
559.518,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,-0.4612664381663004,-0.08802187442779541,1,3.76629638671875,1,-0.43095053566826713,-0.11156868934631348,1,3.5784454345703125
576.199,115,10,2,1,"{'TopLeft': 0.4873795443493595, 'TopRight': 0.49956403295809343, 'BottomLeft': 0.5316406451519528, 'BottomRight': 0.4264571013056895}","{'TopLeft': 0.01634720688012062, 'TopRight': 0.01717478422842672, 'BottomLeft': 0.01854570828660118, 'BottomRight': 0.01251583026759235}",startRecording,1,-0.4588187535603841,-0.08868676424026489,1,3.7675323486328125,1,-0.4320497512817383,-0.11384057998657227,1,3.5779266357421875
