timestamp,participantID,ID,expOrder,trialNumber,perimeter,surfaceArea,event,lv,lx,ly,lpv,lps,rv,rx,ry,rpv,rps
265.672,107,5,2,1,"{'TopLeft': 0.6625704155516198, 'TopRight': 0.7362240528774487, 'BottomLeft': 0.6302499074759311, 'BottomRight': 0.6464101615137755}","{'TopLeft': 0.013648019097765387, 'TopRight': 0.015044160301841376, 'BottomLeft': 0.01234898099208873, 'BottomRight': 0.01299038105676658}",startRecording,1,-0.424260192,0.149753183,1,4.930007935,1,-0.403245025,0.138773024,1,4.777008057
282.363,107,5,2,1,"{'TopLeft': 0.6625704155516198, 'TopRight': 0.7362240528774487, 'BottomLeft': 0.6302499074759311, 'BottomRight': 0.6464101615137755}","{'TopLeft': 0.013648019097765387, 'TopRight': 0.015044160301841376, 'BottomLeft': 0.01234898099208873, 'BottomRight': 0.01299038105676658}",startRecording,1,-0.418254852,0.150044441,1,4.918441772,1,-0.394497977,0.133693546,1,4.768447876
299.058,107,5,2,1,"{'TopLeft': 0.6625704155516198, 'TopRight': 0.7362240528774487, 'BottomLeft': 0.6302499074759311, 'BottomRight': 0.6464101615137755}","{'TopLeft': 0.013648019097765387, 'TopRight': 0.015044160301841376, 'BottomLeft': 0.01234898099208873, 'BottomRight': 0.01299038105676658}",startRecording,1,-0.27108664,0.145623565,1,4.9271698,1,-0.198502594,0.117376745,1,4.761810303
315.756,107,5,2,1,"{'TopLeft': 0.6625704155516198, 'TopRight': 0.7362240528774487, 'BottomLeft': 0.6302499074759311, 'BottomRight': 0.6464101615137755}","{'TopLeft': 0.013648019097765387, 'TopRight': 0.015044160301841376, 'BottomLeft': 0.01234898099208873, 'BottomRight': 0.01299038105676658}",startRecording,1,-0.166915417,0.111725152,1,4.814071655,0,nan,nan,0,nan
332.429,107,5,2,1,"{'TopLeft': 0.6625704155516198, 'TopRight': 0.7362240528774487, 'BottomLeft': 0.6302499074759311, 'BottomRight': 0.6464101615137755}","{'TopLeft': 0.013648019097765387, 'TopRight': 0.015044160301841376, 'BottomLeft': 0.01234898099208873, 'BottomRight': 0.01299038105676658}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
349.101,107,5,2,1,"{'TopLeft': 0.6625704155516198, 'TopRight': 0.7362240528774487, 'BottomLeft': 0.6302499074759311, 'BottomRight': 0.6464101615137755}","{'TopLeft': 0.013648019097765387, 'TopRight': 0.015044160301841376, 'BottomLeft': 0.01234898099208873, 'BottomRight': 0.01299038105676658}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
365.772,107,5,2,1,"{'TopLeft': 0.6625704155516198, 'TopRight': 0.7362240528774487, 'BottomLeft': 0.6302499074759311, 'BottomRight': 0.6464101615137755}","{'TopLeft': 0.013648019097765387, 'TopRight': 0.015044160301841376, 'BottomLeft': 0.01234898099208873, 'BottomRight': 0.01299038105676658}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
382.444,107,5,2,1,"{'TopLeft': 0.6625704155516198, 'TopRight': 0.7362240528774487, 'BottomLeft': 0.6302499074759311, 'BottomRight': 0.6464101615137755}","{'TopLeft': 0.013648019097765387, 'TopRight': 0.015044160301841376, 'BottomLeft': 0.01234898099208873, 'BottomRight': 0.01299038105676658}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
399.116,107,5,2,1,"{'TopLeft': 0.6625704155516198, 'TopRight': 0.7362240528774487, 'BottomLeft': 0.6302499074759311, 'BottomRight': 0.6464101615137755}","{'TopLeft': 0.013648019097765387, 'TopRight': 0.015044160301841376, 'BottomLeft': 0.01234898099208873, 'BottomRight': 0.01299038105676658}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
415.787,107,5,2,1,"{'TopLeft': 0.6625704155516198, 'TopRight': 0.7362240528774487, 'BottomLeft': 0.6302499074759311, 'BottomRight': 0.6464101615137755}","{'TopLeft': 0.013648019097765387, 'TopRight': 0.015044160301841376, 'BottomLeft': 0.01234898099208873, 'BottomRight': 0.01299038105676658}",startRecording,0,nan,nan,0,nan,0,nan,nan,0,nan
