timestamp,ID,expOrder,trialNumber,event,lv,lx,ly,lpv,lps,rv,rx,ry,rpv,rps
4.01,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
20.628,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
37.241,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
53.874,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
70.531,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
87.189,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
103.847,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
120.503,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
137.161,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
153.819,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
170.477,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
187.147,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
203.852,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
220.596,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
237.26,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
253.924,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
270.587,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
287.257,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
303.951,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
320.671,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
337.338,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
354.004,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
370.671,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
387.339,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
403.996,11,1,1,stimulusMovement,1,-0.10372601615058051,0.11523473262786865,1,2.5655517578125,1,0.074962404039171,0.07221069931983948,1,2.5092926025390625
420.651,11,1,1,stimulusMovement,1,-0.1024923324584961,0.11196926236152649,1,2.6011810302734375,0,nan,nan,0,nan
437.309,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
453.975,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
470.641,11,1,1,stimulusMovement,1,-0.13120412826538086,0.1118011474609375,1,2.519317626953125,1,0.08918062845865884,0.05782198905944824,1,2.513916015625
487.307,11,1,1,stimulusMovement,1,-0.10811154047648111,0.10907769203186035,1,2.6204681396484375,0,nan,nan,0,nan
503.967,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
520.629,11,1,1,stimulusMovement,1,-0.08419810401068793,0.11463338136672974,1,2.584503173828125,1,1.3814529842800563,0.178892582654953,1,2.7584228515625
537.291,11,1,1,stimulusMovement,1,-0.09218178855048285,0.11275374889373779,1,2.6326751708984375,0,nan,nan,0,nan
553.957,11,1,1,stimulusMovement,1,-0.09275923834906684,0.11931580305099487,1,2.60888671875,1,0.08533541361490884,0.0657300055027008,1,2.5180206298828125
570.623,11,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.0697317123413086,0.06641411781311035,1,2.5237884521484375
587.288,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
603.954,11,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.07108889685736762,0.0602317750453949,1,2.484161376953125
620.619,11,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.1193084716796875,0.07694476842880249,1,2.55511474609375
637.285,11,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.11981095208062065,0.05976700782775879,1,2.5701751708984375
653.951,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
670.616,11,1,1,stimulusMovement,1,-0.14503192901611328,0.07524847984313965,1,2.7267913818359375,1,0.08201620313856336,0.017554521560668945,1,2.62945556640625
687.282,11,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.11150699191623263,0.036816567182540894,1,2.5677947998046875
703.95,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
720.617,11,1,1,stimulusMovement,0,nan,nan,0,nan,0,nan,nan,0,nan
737.285,11,1,1,stimulusMovement,1,-0.14398150973849824,0.07369416952133179,1,2.745086669921875,1,0.07670731014675564,0.009659409523010254,1,2.675384521484375
753.952,11,1,1,stimulusMovement,1,-0.1441354751586914,0.07934951782226562,1,2.7158050537109375,1,0.049527380201551646,0.027284324169158936,1,2.621490478515625
770.617,11,1,1,stimulusMovement,1,-0.14203204049004448,0.05753964185714722,1,2.778564453125,1,0.06858285268147786,0.008329778909683228,1,2.66558837890625
787.283,11,1,1,stimulusMovement,1,-0.14988316429985893,0.062413543462753296,1,2.679840087890625,1,0.10716787974039713,0.035234928131103516,1,2.62847900390625
803.953,11,1,1,stimulusMovement,1,-0.15146615770128039,0.06689536571502686,1,2.71630859375,1,0.07099162207709418,0.008636116981506348,1,2.6700286865234375
820.623,11,1,1,stimulusMovement,1,-0.14799589580959743,0.06737494468688965,1,2.681732177734375,1,0.06793032752143012,0.021909713745117188,1,2.6165008544921875
837.293,11,1,1,stimulusMovement,1,-0.15179920196533203,0.0665094256401062,1,2.6531219482421875,1,0.07394801245795356,0.01099306344985962,1,2.670379638671875
853.96,11,1,1,stimulusMovement,1,-0.1498045391506619,0.06116074323654175,1,2.67547607421875,1,0.0652926762898763,0.016570746898651123,1,2.624542236328125
870.626,11,1,1,stimulusMovement,1,-0.14323096805148652,0.06743741035461426,1,2.7032012939453125,0,nan,nan,0,nan
887.292,11,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.06851885053846571,0.016329199075698853,1,2.623779296875
903.958,11,1,1,stimulusMovement,1,-0.15302938885158962,0.06703531742095947,1,2.6917572021484375,1,0.07225725385877821,0.018717288970947266,1,2.618408203125
920.625,11,1,1,stimulusMovement,1,-0.15051163567437065,0.07923418283462524,1,2.60943603515625,1,0.11352337731255424,0.03867456316947937,1,2.562774658203125
937.293,11,1,1,stimulusMovement,1,-0.15767690870496961,0.07339957356452942,1,2.6046142578125,1,0.09705977969699435,-0.0012859702110290527,1,2.7749786376953125
953.96,11,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.06860065460205078,0.025771737098693848,1,2.550384521484375
970.627,11,1,1,stimulusMovement,1,-0.1482023662990994,0.056412696838378906,1,2.6676483154296875,1,0.11451583438449435,0.03216427564620972,1,2.5423583984375
987.295,11,1,1,stimulusMovement,1,-0.12306764390733506,0.06430140137672424,1,2.6679229736328125,1,0.06522899203830294,0.00899583101272583,1,2.576385498046875
1003.961,11,1,1,stimulusMovement,1,-0.1507349544101291,0.064308762550354,1,2.6203155517578125,1,0.06004259321424696,0.024181097745895386,1,2.57000732421875
1020.627,11,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.058957841661241316,0.023934870958328247,1,2.555633544921875
1037.294,11,1,1,stimulusMovement,1,-0.15811634063720703,0.060149818658828735,1,2.658172607421875,0,nan,nan,0,nan
1053.96,11,1,1,stimulusMovement,1,-0.1489959292941623,0.06747519969940186,1,2.5818939208984375,1,0.06945588853624131,0.025172382593154907,1,2.56829833984375
1070.626,11,1,1,stimulusMovement,1,-0.1568229463365343,0.056125521659851074,1,2.660919189453125,1,0.06191412607828776,0.029046356678009033,1,2.4677886962890625
1087.293,11,1,1,stimulusMovement,0,nan,nan,0,nan,1,0.06564945644802517,0.015829861164093018,1,2.52496337890625
1103.958,11,1,1,stimulusMovement,1,-0.15675195058186847,0.07483017444610596,1,2.61529541015625,1,0.06961239708794488,0.004143804311752319,1,2.556610107421875
1120.625,11,1,1,stimulusMovement,1,-0.1551943884955512,0.075755774974823,1,2.5719757080078125,0,nan,nan,0,nan
1137.292,11,1,1,stimulusMovement,1,-0.15353065066867402,0.05278438329696655,1,2.6743011474609375,1,0.05464045206705729,0.00950390100479126,1,2.558258056640625
1153.958,11,1,1,stimulusMovement,1,-0.1565606329176161,0.061515212059020996,1,2.6452789306640625,1,0.10339037577311197,0.03439128398895264,1,2.5227508544921875
1170.624,11,1,1,stimulusMovement,1,-0.1089334487915039,0.06323868036270142,1,2.6881256103515625,1,0.11197005377875434,0.03847098350524902,1,2.540191650390625
1187.291,11,1,1,stimulusMovement,1,-0.12297545539008246,0.05417594313621521,1,2.6709442138671875,1,0.05277729034423828,0.018763244152069092,1,2.53045654296875
1203.958,11,1,1,stimulusMovement,1,-0.1589305665757921,0.0594789981842041,1,2.6501312255859375,1,0.09361436631944443,0.03449246287345886,1,2.5624237060546875
1220.624,11,1,1,stimulusMovement,1,-0.14574400583902994,0.0612887442111969,1,2.631500244140625,1,0.06375090281168619,0.014568239450454712,1,2.5515899658203125
1237.29,11,1,1,stimulusMovement,1,-0.15097988976372612,0.0668717622756958,1,2.604949951171875,1,0.05367925431993272,0.01269465684890747,1,2.5514678955078125
1253.957,11,1,1,stimulusMovement,1,-0.16161113315158418,0.06435626745223999,1,2.6811065673828125,1,0.05758412679036458,0.022488683462142944,1,2.5684051513671875
1270.623,11,1,1,stimulusMovement,1,-0.1465510262383355,0.07041269540786743,1,2.6162567138671875,0,nan,nan,0,nan
1287.29,11,1,1,stimulusMovement,1,-0.15182378556993273,0.05767226219177246,1,2.6273651123046875,0,nan,nan,0,nan
1303.958,11,1,1,stimulusMovement,1,-0.1585092544555664,0.052809327840805054,1,2.6405181884765625,1,0.06883790757921007,0.017126381397247314,1,2.5914306640625
1320.624,11,1,1,stimulusMovement,1,-0.14989842308892143,0.06508660316467285,1,2.6065216064453125,1,0.06437100304497613,0.025172770023345947,1,2.5267333984375
1337.291,11,1,1,stimulusMovement,1,-0.12403212653266059,0.0676397979259491,1,2.60943603515625,1,0.07711198594835068,0.004650473594665527,1,2.621978759765625
1353.958,11,1,1,stimulusMovement,1,-0.1367163128323025,0.050566405057907104,1,2.649871826171875,1,-1.1794792016347249,0.16036754846572876,1,2.692535400390625
