"participantid","ppt_included","block","trialnumber_withinblock","shape","location_deviant","deviant_type","orientation","validtrial","sumvalidtrials_overall","proponscreen_shapes_on_1","proponscreen_shapes_on_2","shape_w_duck_car","gaze_topright_2","gaze_bottomleft_3","gaze_bottomright_4","gaze_centre","gaze_onscreen_elsewhere","gaze_nogaze","gaze_topleft_1","gaze_offscreen","total_dwell_shapes","total_dwell_deviant","prop_look_dev"
120,0,4,6,"square",3,2,355,0,7,0.495726495726496,0,"square",0,28,0,25,5,178,0,4,28,28,1
121,0,1,1,"equilateral_triangle",2,1,5,1,6,0.983193277310924,1,"equilateral_triangle",0,50,92,47,2,2,46,0,188,0,0
121,0,1,2,"pentagon",4,1,25,1,6,1,0.844827586206897,"pentagon",116,0,0,6,1,18,94,0,210,0,0
121,0,1,3,"object",3,1,5,0,6,0,0.675,"car",0,54,0,0,27,90,0,68,54,54,1
121,0,1,4,"rhombus",1,1,25,0,6,0.327731092436975,0.370967741935484,"rhombus",0,54,0,30,1,102,0,56,54,0,0
121,0,1,5,"isosceles_triangle",2,1,5,0,6,0.430894308943089,0.0336134453781513,"isosceles_triangle",0,32,0,20,5,121,0,64,32,0,0
121,0,1,6,"square",4,1,25,0,6,0.991596638655462,0.025,"square",0,53,0,30,38,118,0,0,53,0,0
121,0,2,1,"equilateral_triangle",3,2,25,0,6,0.664429530201342,0.908333333333333,"equilateral_triangle",0,48,63,55,4,12,38,49,149,48,0.322147651006711
121,0,2,2,"pentagon",1,2,5,1,6,1,1,"pentagon",0,0,66,29,4,0,140,0,206,140,0.679611650485437
121,0,2,3,"object",2,2,25,1,6,0.76271186440678,0.775,"car",48,91,0,33,11,23,0,32,139,48,0.345323741007194
121,0,2,4,"rhombus",4,2,5,0,6,0,1,"rhombus",0,61,37,0,2,117,20,0,118,37,0.313559322033898
121,0,2,5,"isosceles_triangle",3,2,25,0,6,1,0.391666666666667,"isosceles_triangle",109,25,0,32,0,73,0,0,134,25,0.186567164179104
121,0,2,6,"square",1,2,5,0,6,0.333333333333333,0.408333333333333,"square",23,24,0,10,3,153,30,0,77,30,0.38961038961039
121,0,3,1,"equilateral_triangle",4,1,355,1,6,0.798319327731092,0.82051282051282,"equilateral_triangle",0,96,41,30,24,21,0,24,137,41,0.299270072992701
121,0,3,2,"pentagon",2,1,325,1,6,1,0.666666666666667,"pentagon",71,30,0,12,20,40,66,0,167,71,0.425149700598802
121,0,3,3,"object",1,1,355,0,6,0,0,"car",0,0,0,0,0,239,0,0,0,0,NA
121,0,3,4,"rhombus",3,1,325,0,6,0,0,"rhombus",0,0,0,0,0,244,0,0,0,0,NA
121,0,3,5,"isosceles_triangle",4,1,355,0,6,0,0.435483870967742,"isosceles_triangle",0,0,53,0,1,179,0,10,53,53,1
121,0,3,6,"square",2,1,325,0,6,0.0932203389830508,0.269736842105263,"square",0,0,7,7,8,132,30,86,37,0,0
122,0,1,1,"equilateral_triangle",3,2,25,1,15,1,1,"equilateral_triangle",0,0,194,43,2,0,0,0,194,0,0
122,0,1,2,"square",1,2,5,1,15,0.798319327731092,1,"square",0,0,178,36,1,1,0,23,178,0,0
122,0,1,3,"isosceles_triangle",2,2,25,1,15,0.840336134453782,1,"isosceles_triangle",0,49,126,39,6,0,0,19,175,0,0
122,0,1,4,"object",4,2,5,1,15,1,1,"car",102,60,0,13,23,0,41,0,203,0,0
